date,AMZN
2016-01-01,26
2016-02-01,20
2016-03-01,14
2016-04-01,20
2016-05-01,23
2016-06-01,17
2016-07-01,24
2016-08-01,15
2016-09-01,17
2016-10-01,24
2016-11-01,27
2016-12-01,19
2017-01-01,23
2017-02-01,29
2017-03-01,19
2017-04-01,32
2017-05-01,33
2017-06-01,43
2017-07-01,46
2017-08-01,38
2017-09-01,24
2017-10-01,39
2017-11-01,36
2017-12-01,31
2018-01-01,48
2018-02-01,75
2018-03-01,62
2018-04-01,80
2018-05-01,49
2018-06-01,47
2018-07-01,74
2018-08-01,67
2018-09-01,65
2018-10-01,100
2018-11-01,80
2018-12-01,72
2019-01-01,73
2019-02-01,74
2019-03-01,83
2019-04-01,95
2019-05-01,88
2019-06-01,70
2019-07-01,59
2019-08-01,50
2019-09-01,39
2019-10-01,50
2019-11-01,35
2019-12-01,39
2020-01-01,51
2020-02-01,57
2020-03-01,76
2020-04-01,77
2020-05-01,58
2020-06-01,56
2020-07-01,94
2020-08-01,65
2020-09-01,69
2020-10-01,59
2020-11-01,57
2020-12-01,46
2021-01-01,46
2021-02-01,57
2021-03-01,41
2021-04-01,47
2021-05-01,37
2021-06-01,35
2021-07-01,49
2021-08-01,38
2021-09-01,31
2021-10-01,37
2021-11-01,36
2021-12-01,31
2022-01-01,39
2022-02-01,52
2022-03-01,46
2022-04-01,51
2022-05-01,62
2022-06-01,67
2022-07-01,53
2022-08-01,50
2022-09-01,36
2022-10-01,48
2022-11-01,55
2022-12-01,39
2023-01-01,45
2023-02-01,48
2023-03-01,36
2023-04-01,44
2023-05-01,42
2023-06-01,44
2023-07-01,40
2023-08-01,49
2023-09-01,34
2023-10-01,39
2023-11-01,41
2023-12-01,35
2024-01-01,37
2024-02-01,54
2024-03-01,36
